Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HMLU,H,M,L,capital - DAC,capital,DAC,139290.91564527992,0.00013929091564527992,24819.593664504555,2.4819593664504557e-05,114471.32198077536,0.00011447132198077536,461.2135215754364
HMLU,H,M,L,capital - H2,capital,H2,6412428389.004467,6.412428389004467,6315762534.701896,6.3157625347018955,96665854.3025713,0.0966658543025713,1.5305492214351268
HMLU,H,M,L,capital - H2 CHP,capital,H2 CHP,543842.231388261,0.000543842231388261,116033.37612714292,0.00011603337612714292,427808.85526111803,0.000427808855261118,368.69465453831907
HMLU,H,M,L,capital - OCGT gas,capital,OCGT gas,762279606.9517803,0.7622796069517803,762144365.287295,0.762144365287295,135241.66448533535,0.00013524166448533536,0.01774488806124745
HMLU,H,M,L,capital - PHS,capital,PHS,2825336461.717002,2.825336461717002,2825336461.717002,2.825336461717002,0.0,0.0,0.0
HMLU,H,M,L,capital - Sabatier,capital,Sabatier,11851935777.802914,11.851935777802913,12489866160.840176,12.489866160840176,-637930383.037262,-0.637930383037262,-5.107583818931405
HMLU,H,M,L,capital - aluminum,capital,aluminum,165280133338.62173,165.28013333862174,0.0,0.0,165280133338.62173,165.28013333862174,0.0
HMLU,H,M,L,capital - aluminum transfer,capital,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - battery,capital,battery,6889850708.354739,6.889850708354739,6756284219.982779,6.756284219982779,133566488.37196064,0.13356648837196064,1.9769222848398924
HMLU,H,M,L,capital - biomass,capital,biomass,12116457264.422806,12.116457264422806,12222516971.0029,12.2225169710029,-106059706.58009338,-0.10605970658009338,-0.8677403093954619
HMLU,H,M,L,capital - co2 atmosphere,capital,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - co2 stored,capital,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - coal,capital,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - coal boiler,capital,coal boiler,8038819836.140511,8.03881983614051,8003216432.984964,8.003216432984964,35603403.15554619,0.035603403155546186,0.44486368016748945
HMLU,H,M,L,capital - coal cc,capital,coal cc,775157758.2762517,0.7751577582762517,776076499.1841047,0.7760764991841047,-918740.9078530073,-0.0009187409078530073,-0.11838277654572543
HMLU,H,M,L,capital - coal power plant,capital,coal power plant,20951665810.51416,20.95166581051416,20951665810.51416,20.95166581051416,0.0,0.0,0.0
HMLU,H,M,L,capital - gas,capital,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - gas boiler,capital,gas boiler,18652616651.60552,18.65261665160552,18850761708.08024,18.85076170808024,-198145056.47472,-0.19814505647472,-1.0511249335340471
HMLU,H,M,L,capital - heat pump,capital,heat pump,48840800458.205086,48.84080045820509,48676215890.12141,48.676215890121405,164584568.0836792,0.1645845680836792,0.33812112357953616
HMLU,H,M,L,capital - hydro_inflow,capital,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - hydroelectricity,capital,hydroelectricity,17498452351.438705,17.498452351438704,17498452351.438705,17.498452351438704,0.0,0.0,0.0
HMLU,H,M,L,capital - nuclear,capital,nuclear,43617364849.04872,43.61736484904872,46728032691.25283,46.72803269125283,-3110667842.204109,-3.1106678422041094,-6.656962989983538
HMLU,H,M,L,capital - offwind,capital,offwind,15540354071.725315,15.540354071725314,15447818020.577278,15.447818020577278,92536051.14803696,0.09253605114803695,0.5990234415292454
HMLU,H,M,L,capital - onwind,capital,onwind,73627572398.60674,73.62757239860673,73272869611.13356,73.27286961113356,354702787.47317505,0.3547027874731751,0.4840847497247182
HMLU,H,M,L,capital - resistive heater,capital,resistive heater,5892201185.817303,5.892201185817303,5875417990.124465,5.875417990124465,16783195.692837715,0.016783195692837715,0.285651092757099
HMLU,H,M,L,capital - solar,capital,solar,105500978332.75296,105.50097833275296,103970799427.83649,103.97079942783648,1530178904.9164734,1.5301789049164733,1.4717390972631041
HMLU,H,M,L,capital - solar thermal,capital,solar thermal,22072586.52358003,0.022072586523580028,23542286.715403136,0.023542286715403135,-1469700.1918231063,-0.0014697001918231062,-6.242809840819405
HMLU,H,M,L,capital - stations,capital,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,capital - water tanks,capital,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - AC,marginal,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - CHP coal,marginal,CHP coal,73155204.39045182,0.07315520439045183,75046867.32820827,0.07504686732820827,-1891662.937756449,-0.001891662937756449,-2.520642106863026
HMLU,H,M,L,marginal - CHP gas,marginal,CHP gas,192898351.1260928,0.1928983511260928,202398591.14515105,0.20239859114515105,-9500240.019058257,-0.009500240019058257,-4.693827148354565
HMLU,H,M,L,marginal - DAC,marginal,DAC,154206.2688189114,0.0001542062688189114,34779.11062801771,3.477911062801771e-05,119427.15819089368,0.00011942715819089367,343.3876141004144
HMLU,H,M,L,marginal - H2,marginal,H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - H2 CHP,marginal,H2 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - OCGT gas,marginal,OCGT gas,33563337.3295364,0.033563337329536404,36676801.92627517,0.03667680192627517,-3113464.5967387706,-0.0031134645967387706,-8.488920607083498
HMLU,H,M,L,marginal - PHS,marginal,PHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - Sabatier,marginal,Sabatier,6048283160.489085,6.048283160489085,6157030490.852263,6.1570304908522635,-108747330.36317825,-0.10874733036317825,-1.7662301741845898
HMLU,H,M,L,marginal - aluminum,marginal,aluminum,155168923.39838713,0.15516892339838714,0.0,0.0,155168923.39838713,0.15516892339838714,0.0
HMLU,H,M,L,marginal - aluminum transfer,marginal,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - battery,marginal,battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - biomass,marginal,biomass,4164334206.966714,4.164334206966714,4200683463.007816,4.200683463007816,-36349256.04110193,-0.03634925604110193,-0.8653176646420003
HMLU,H,M,L,marginal - co2 atmosphere,marginal,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - co2 stored,marginal,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - coal,marginal,coal,2227443124.130207,2.227443124130207,2225846992.34641,2.2258469923464097,1596131.783797264,0.001596131783797264,0.0717089624437607
HMLU,H,M,L,marginal - coal boiler,marginal,coal boiler,94943061.069512,0.09494306106951199,95564235.17497613,0.09556423517497613,-621174.1054641306,-0.0006211741054641306,-0.6500068821005827
HMLU,H,M,L,marginal - coal cc,marginal,coal cc,1594062584.8053298,1.5940625848053298,1709447367.2775297,1.7094473672775297,-115384782.47219992,-0.11538478247219992,-6.74982948764091
HMLU,H,M,L,marginal - coal power plant,marginal,coal power plant,376965868.02087015,0.3769658680208702,400700003.9340177,0.4007000039340177,-23734135.91314757,-0.023734135913147568,-5.923168375375362
HMLU,H,M,L,marginal - gas,marginal,gas,252759.9799324651,0.0002527599799324651,58161.76546846175,5.816176546846175e-05,194598.21446400334,0.00019459821446400334,334.5809964615402
HMLU,H,M,L,marginal - gas boiler,marginal,gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - heat pump,marginal,heat pump,2351682736.7253284,2.3516827367253286,2351731517.7993016,2.3517315177993017,-48781.07397317886,-4.8781073973178866e-05,-0.002074262032207959
HMLU,H,M,L,marginal - hydro_inflow,marginal,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - hydroelectricity,marginal,hydroelectricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMLU,H,M,L,marginal - nuclear,marginal,nuclear,33500258692.43482,33.50025869243482,35874824731.2824,35.8748247312824,-2374566038.847584,-2.3745660388475835,-6.61903174896069
HMLU,H,M,L,marginal - offwind,marginal,offwind,13639284.183679832,0.013639284183679832,13510803.027245576,0.013510803027245576,128481.15643425658,0.00012848115643425659,0.9509512956051868
HMLU,H,M,L,marginal - onwind,marginal,onwind,93968065.72694878,0.09396806572694878,92853295.23720348,0.09285329523720348,1114770.489745304,0.001114770489745304,1.2005718126615816
HMLU,H,M,L,marginal - resistive heater,marginal,resistive heater,679647662.5768173,0.6796476625768173,674991128.1579226,0.6749911281579226,4656534.418894649,0.0046565344188946485,0.6898660181804929
HMLU,H,M,L,marginal - solar,marginal,solar,77066071.30729242,0.07706607130729241,75996672.40510546,0.07599667240510545,1069398.90218696,0.00106939890218696,1.4071654301999645
HMLU,H,M,L,marginal - solar thermal,marginal,solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
