Province,Year,Scenario,Demand_tons_per_second
Shanxi,2045,low,0.005554768324440534
Sichuan,2045,low,0.006346444755967725
Tibet,2045,low,1.563953380740574e-05
Xinjiang,2045,low,0.03205805529686167
Yunnan,2045,low,0.02759100416630701
Zhejiang,2045,low,0.0025761135910739416
Anhui,2050,low,0.007149125210660154
Chongqing,2050,low,0.0016634075106462694
Fujian,2050,low,0.0027660076307967512
Gansu,2050,low,0.013286040958777804
Guangdong,2050,low,0.0018149771671743694
Guangxi,2050,low,0.013653390460689781
Guizhou,2050,low,0.00519167255439673
Hebei,2050,low,0.00022928354155752145
Heilongjiang,2050,low,0.0006682841502062235
Henan,2050,low,0.013181871295815644
Hubei,2050,low,0.0032218188331566795
Hunan,2050,low,0.005466978149142635
InnerMongolia,2050,low,0.022389036220561872
Jiangsu,2050,low,0.0025929427418529814
Jiangxi,2050,low,0.007118535611594745
Jilin,2050,low,0.0003670739935207431
Liaoning,2050,low,0.0024962135983503807
Ningxia,2050,low,0.004022657381417823
Qinghai,2050,low,0.00824318218015406
Shaanxi,2050,low,0.005492882711082211
Shandong,2050,low,0.023326011971228144
Shanxi,2050,low,0.004110843374263847
Sichuan,2050,low,0.00469672880152551
Tibet,2050,low,1.1574141381535412e-05
Xinjiang,2050,low,0.023724777796589925
Yunnan,2050,low,0.020418906791719895
Zhejiang,2050,low,0.0019064700575579742
Anhui,2055,low,0.005461591542536732
Chongqing,2055,low,0.0012707642018062854
Fujian,2055,low,0.002113098237589355
Gansu,2055,low,0.010149903211382831
Guangdong,2055,low,0.0013865562084933005
Guangxi,2055,low,0.010430540754253936
Guizhou,2055,low,0.0039661908386263885
Hebei,2055,low,0.00017516171762472108
Heilongjiang,2055,low,0.0005105372972535508
Henan,2055,low,0.010070322544733619
Hubei,2055,low,0.0024613163110524445
Hunan,2055,low,0.004176511215395735
InnerMongolia,2055,low,0.017104158517945146
Jiangsu,2055,low,0.0019808848959687693
Jiangxi,2055,low,0.005438222544145697
Jilin,2055,low,0.0002804270675674665
Liaoning,2055,low,0.0019069884322052198
Ningxia,2055,low,0.0030731188621671668
Qinghai,2055,low,0.006297399017657106
Shaanxi,2055,low,0.004196301068312472
Shandong,2055,low,0.017819963414993294
Shanxi,2055,low,0.0031404887652680207
Sichuan,2055,low,0.0035880773582970607
Tibet,2055,low,8.842093377698873e-06
Xinjiang,2055,low,0.018124601534353843
Yunnan,2055,low,0.015599073362880073
Zhejiang,2055,low,0.0014564524239877824
Anhui,2060,low,0.003519827095597749
Chongqing,2060,low,0.0008189682869539357
Fujian,2060,low,0.0013618265617996535
Gansu,2060,low,0.006541299191430632
Guangdong,2060,low,0.0008935926596145994
Guangxi,2060,low,0.0067221614217432436
Guizhou,2060,low,0.002556087519797318
Hebei,2060,low,0.00011288631802746874
Heilongjiang,2060,low,0.000329025522723664
Henan,2060,low,0.006490011909220668
Hubei,2060,low,0.0015862423571967122
Hunan,2060,low,0.0026916325079465475
InnerMongolia,2060,low,0.011023101989589598
Jiangsu,2060,low,0.0012766191458639844
Jiangxi,2060,low,0.003504766497767773
Jilin,2060,low,0.0001807265854788794
