Demand,Market,Flexibility,Category,Value (CNY),Value (Billion CNY),Scenario_Code
H,L,L,Batteries,4870263802,4.870263802,LHLU
H,L,L,Heating electrification,-38254926.97,-0.038254927,LHLU
H,L,M,Non-renewable investment,-30344933205,-30.3449332,MHLU
H,L,M,Renewable investment,10731591991,10.73159199,MHLU
H,L,M,Non-renewable operation,-29261479281,-29.26147928,MHLU
H,L,M,Transmission lines,1963806354,1.963806354,MHLU
H,L,M,Long-duration storages,-2843343516,-2.843343516,MHLU
H,L,M,Batteries,6791733213,6.791733213,MHLU
H,L,M,Heating electrification,4174782340,4.17478234,MHLU
H,L,H,Non-renewable investment,-30741412325,-30.74141232,HHLU
H,L,H,Renewable investment,10432019227,10.43201923,HHLU
H,L,H,Non-renewable operation,-29815730376,-29.81573038,HHLU
H,L,H,Transmission lines,2111079382,2.111079382,HHLU
H,L,H,Long-duration storages,-3386507297,-3.386507297,HHLU
H,L,H,Batteries,6010270455,6.010270455,HHLU
H,L,H,Heating electrification,4524499807,4.524499807,HHLU
H,L,N,Non-renewable investment,-37835366340,-37.83536634,NHLU
H,L,N,Renewable investment,18812639553,18.81263955,NHLU
H,L,N,Non-renewable operation,-33578025079,-33.57802508,NHLU
H,L,N,Transmission lines,2610055535,2.610055535,NHLU
H,L,N,Long-duration storages,-3317617018,-3.317617018,NHLU
H,L,N,Batteries,2471681630,2.47168163,NHLU
H,L,N,Heating electrification,4069427904,4.069427904,NHLU
H,M,L,Non-renewable investment,-20593347792,-20.59334779,LHMU
H,M,L,Renewable investment,17269141229,17.26914123,LHMU
H,M,L,Non-renewable operation,-17006361236,-17.00636124,LHMU
H,M,L,Transmission lines,-1571070648,-1.571070648,LHMU
H,M,L,Long-duration storages,286834552.3,0.286834552,LHMU
H,M,L,Batteries,-1384434398,-1.384434398,LHMU
H,M,L,Heating electrification,-832770289.9,-0.83277029,LHMU
H,M,M,Non-renewable investment,-9266885448,-9.266885448,MHMU
H,M,M,Renewable investment,-14313636762,-14.31363676,MHMU
H,M,M,Non-renewable operation,-14334973459,-14.33497346,MHMU
H,M,M,Transmission lines,773112705.2,0.773112705,MHMU
H,M,M,Long-duration storages,-1492148310,-1.49214831,MHMU
H,M,M,Batteries,-1667909537,-1.667909537,MHMU
H,M,M,Heating electrification,3159666978,3.159666978,MHMU
H,M,H,Non-renewable investment,-17977179946,-17.97717995,HHMU
H,M,H,Renewable investment,-6418589312,-6.418589312,HHMU
H,M,H,Non-renewable operation,-19062503349,-19.06250335,HHMU
H,M,H,Transmission lines,398523408,0.398523408,HHMU
H,M,H,Long-duration storages,-2925272234,-2.925272234,HHMU
