Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
NHMF,N,H,M,capital - solar,capital,solar,75845646260.50954,75.84564626050954,76795974646.52713,76.79597464652713,-950328386.0175934,-0.9503283860175934,-1.237471612791842
NHMF,N,H,M,capital - solar thermal,capital,solar thermal,36089438.23535289,0.03608943823535289,36281004.04144021,0.03628100404144021,-191565.80608732253,-0.00019156580608732253,-0.5280058012411007
NHMF,N,H,M,capital - stations,capital,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,capital - water tanks,capital,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - AC,marginal,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - CHP coal,marginal,CHP coal,88967656.75050703,0.08896765675050702,93075544.22023684,0.09307554422023684,-4107887.469729811,-0.004107887469729811,-4.4134982009986015
NHMF,N,H,M,marginal - CHP gas,marginal,CHP gas,91644610.37782864,0.09164461037782864,100700063.70285764,0.10070006370285764,-9055453.325029,-0.009055453325029,-8.992500095878318
NHMF,N,H,M,marginal - DAC,marginal,DAC,34563.809656408106,3.456380965640811e-05,174270.5258297385,0.0001742705258297385,-139706.71617333038,-0.00013970671617333038,-80.16657751398719
NHMF,N,H,M,marginal - H2,marginal,H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - H2 CHP,marginal,H2 CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - OCGT gas,marginal,OCGT gas,6006974.472950679,0.0060069744729506795,8175660.603836066,0.008175660603836066,-2168686.130885387,-0.0021686861308853867,-26.526127195982514
NHMF,N,H,M,marginal - PHS,marginal,PHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - Sabatier,marginal,Sabatier,4399180391.783112,4.399180391783111,4793610119.783541,4.793610119783541,-394429728.00042915,-0.39442972800042914,-8.228239638693017
NHMF,N,H,M,marginal - aluminum,marginal,aluminum,321039115.7323336,0.3210391157323336,0.0,0.0,321039115.7323336,0.3210391157323336,0.0
NHMF,N,H,M,marginal - aluminum transfer,marginal,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - battery,marginal,battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - biomass,marginal,biomass,8069546629.510539,8.069546629510539,7604845501.01835,7.6048455010183496,464701128.4921894,0.4647011284921894,6.110592627160699
NHMF,N,H,M,marginal - co2 atmosphere,marginal,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - co2 stored,marginal,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - coal,marginal,coal,4407993687.16505,4.40799368716505,4101068994.748305,4.101068994748305,306924692.4167447,0.3069246924167447,7.484016796834739
NHMF,N,H,M,marginal - coal boiler,marginal,coal boiler,105950364.39197148,0.10595036439197149,109039690.18025264,0.10903969018025264,-3089325.7882811576,-0.0030893257882811578,-2.83321218464049
NHMF,N,H,M,marginal - coal cc,marginal,coal cc,3232198506.347909,3.232198506347909,3959203311.138209,3.959203311138209,-727004804.7902999,-0.7270048047902999,-18.362401414068767
NHMF,N,H,M,marginal - coal power plant,marginal,coal power plant,611775058.6964442,0.6117750586964441,591707838.8820138,0.5917078388820138,20067219.814430356,0.020067219814430357,3.391406788246344
NHMF,N,H,M,marginal - gas,marginal,gas,799865.8160031226,0.0007998658160031226,1206430.9544035208,0.0012064309544035207,-406565.1384003982,-0.0004065651384003982,-33.69982649371017
NHMF,N,H,M,marginal - gas boiler,marginal,gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - heat pump,marginal,heat pump,2401670384.1367536,2.4016703841367537,2404728691.872116,2.404728691872116,-3058307.7353625298,-0.0030583077353625297,-0.12717890985787644
NHMF,N,H,M,marginal - hydro_inflow,marginal,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - hydroelectricity,marginal,hydroelectricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - nuclear,marginal,nuclear,67424544354.19303,67.42454435419303,68878540290.29794,68.87854029029795,-1453995936.1049118,-1.4539959361049117,-2.1109563733157652
NHMF,N,H,M,marginal - offwind,marginal,offwind,9148791.125349216,0.009148791125349217,9143102.701457651,0.00914310270145765,5688.423891564831,5.688423891564831e-06,0.06221546533276878
NHMF,N,H,M,marginal - onwind,marginal,onwind,84810638.38207617,0.08481063838207617,84321537.35371138,0.08432153735371138,489101.02836479247,0.0004891010283647924,0.5800428262036008
NHMF,N,H,M,marginal - resistive heater,marginal,resistive heater,374492138.9745079,0.37449213897450795,376496986.383345,0.376496986383345,-2004847.40883708,-0.00200484740883708,-0.5325002540115332
NHMF,N,H,M,marginal - solar,marginal,solar,45403866.49655268,0.04540386649655268,45993282.1962907,0.0459932821962907,-589415.6997380182,-0.0005894156997380182,-1.281525630683417
NHMF,N,H,M,marginal - solar thermal,marginal,solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - stations,marginal,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,marginal - water tanks,marginal,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,nan - nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,shutdown - aluminum,shutdown,aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,standby - aluminum,standby,aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHMF,N,H,M,startup - aluminum,startup,aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - AC,capital,AC,9276097812.476904,9.276097812476904,9334758293.180794,9.334758293180794,-58660480.70388985,-0.05866048070388985,-0.628409208482049
NLHF,N,L,H,capital - CHP coal,capital,CHP coal,28578201220.107903,28.578201220107903,28577824233.9604,28.5778242339604,376986.14750289917,0.00037698614750289916,0.0013191562255285636
NLHF,N,L,H,capital - CHP gas,capital,CHP gas,2986954250.719318,2.986954250719318,2986495912.1859145,2.9864959121859145,458338.5334033966,0.0004583385334033966,0.015347033676932895
NLHF,N,L,H,capital - DAC,capital,DAC,273415.21876273386,0.00027341521876273384,172540.41154847146,0.00017254041154847146,100874.8072142624,0.0001008748072142624,58.46445265138587
NLHF,N,L,H,capital - H2,capital,H2,6515337331.135149,6.515337331135149,6573282791.45476,6.573282791454759,-57945460.319610596,-0.0579454603196106,-0.8815300080340291
NLHF,N,L,H,capital - H2 CHP,capital,H2 CHP,906854.4710143348,0.0009068544710143349,670049.6663876481,0.0006700496663876481,236804.80462668673,0.00023680480462668672,35.341380871561626
NLHF,N,L,H,capital - OCGT gas,capital,OCGT gas,762419962.9132243,0.7624199629132243,762290954.4027784,0.7622909544027784,129008.51044595242,0.00012900851044595242,0.01692378870572129
NLHF,N,L,H,capital - PHS,capital,PHS,2825336461.717002,2.825336461717002,2825336461.717002,2.825336461717002,0.0,0.0,0.0
NLHF,N,L,H,capital - Sabatier,capital,Sabatier,7199987815.220845,7.199987815220846,7278158198.415347,7.278158198415347,-78170383.19450188,-0.07817038319450188,-1.0740407265607623
NLHF,N,L,H,capital - aluminum,capital,aluminum,11166042317.60108,11.16604231760108,0.0,0.0,11166042317.60108,11.16604231760108,0.0
NLHF,N,L,H,capital - aluminum transfer,capital,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - battery,capital,battery,3287817769.9415,3.2878177699415003,3327989345.702526,3.3279893457025262,-40171575.761025906,-0.0401715757610259,-1.2070824629561978
NLHF,N,L,H,capital - biomass,capital,biomass,28448796909.23954,28.44879690923954,28252040573.45112,28.25204057345112,196756335.78842163,0.19675633578842164,0.6964322993834173
NLHF,N,L,H,capital - co2 atmosphere,capital,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - co2 stored,capital,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - coal,capital,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - coal boiler,capital,coal boiler,11141738170.839502,11.141738170839503,11113901975.480837,11.113901975480838,27836195.358665466,0.027836195358665466,0.250462847522651
NLHF,N,L,H,capital - coal cc,capital,coal cc,2849284118.854297,2.849284118854297,2876522780.797464,2.876522780797464,-27238661.943166733,-0.027238661943166733,-0.9469301659976879
NLHF,N,L,H,capital - coal power plant,capital,coal power plant,20951665810.51416,20.95166581051416,20951665810.51416,20.95166581051416,0.0,0.0,0.0
NLHF,N,L,H,capital - gas,capital,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - gas boiler,capital,gas boiler,10995067520.006489,10.995067520006488,11068347611.870584,11.068347611870584,-73280091.86409569,-0.07328009186409569,-0.6620689413973974
NLHF,N,L,H,capital - heat pump,capital,heat pump,54623200604.507576,54.62320060450757,54570749642.46885,54.57074964246885,52450962.03872681,0.0524509620387268,0.09611552412669745
NLHF,N,L,H,capital - hydro_inflow,capital,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLHF,N,L,H,capital - hydroelectricity,capital,hydroelectricity,17498452351.438705,17.498452351438704,17498452351.438705,17.498452351438704,0.0,0.0,0.0
NLHF,N,L,H,capital - nuclear,capital,nuclear,97591007304.26836,97.59100730426836,98763557828.23492,98.76355782823492,-1172550523.966568,-1.172550523966568,-1.1872299355657219
NLHF,N,L,H,capital - offwind,capital,offwind,11693511554.332293,11.693511554332293,11693760968.324984,11.693760968324984,-249413.99269104004,-0.00024941399269104,-0.0021328808872237977
